Transaction_ID,Amount,VAT_Rate,Country,Item_Category,Applied_VAT
252,637.37,0.05,USA,Clothing,31.87
253,597.53,0.05,Germany,Food,29.88
254,26.08,0.2,USA,Food,5.22
255,731.49,0.18,Germany,Furniture,131.67
256,330.3,0.12,UK,Furniture,39.64
257,668.41,0.05,UK,Furniture,33.42
258,561.01,0.05,France,Books,28.05
259,349.3,0.18,France,Food,62.87
260,143.23,0.12,France,Furniture,17.19
261,103.47,0.05,France,Food,5.17
262,833.2,0.05,India,Clothing,41.66
263,919.21,0.12,France,Furniture,110.31
264,653.29,0.05,France,Food,32.66
265,112.4,0.12,France,Books,13.49
266,408.01,0.18,Germany,Books,73.44
267,731.65,0.05,France,Books,36.58
268,782.02,0.18,USA,Furniture,140.76
269,127.04,0.12,France,Books,15.24
270,10.03,0.18,France,Electronics,6.77
271,715.02,0.18,India,Clothing,128.7
272,363.03,0.18,France,Food,65.35
273,261.94,0.2,Germany,Electronics,52.39
274,22.77,0.12,UK,Furniture,1.75
275,544.9,0.12,France,Food,65.39
276,852.64,0.12,France,Food,102.32
277,958.06,0.12,France,Books,114.97
278,570.09,0.12,India,Food,68.41
279,519.32,0.05,UK,Food,25.97
280,94.21,0.05,India,Clothing,4.71
281,553.38,0.05,India,Furniture,27.67
282,386.18,0.18,India,Electronics,69.51
283,611.06,0.18,Germany,Books,109.99
284,394.84,0.12,UK,Clothing,47.38
285,247.9,0.2,Germany,Electronics,49.58
286,104.02,0.12,Germany,Electronics,12.48
287,321.77,0.05,UK,Clothing,16.09
288,105.68,0.12,Germany,Books,12.68
289,185.13,0.18,UK,Furniture,33.32
290,987.46,0.12,France,Clothing,118.5
291,449.66,0.05,India,Clothing,22.48
292,536.55,0.12,Germany,Clothing,64.39
293,874.88,0.18,UK,Books,157.48
294,995.61,0.2,USA,Clothing,199.12
295,586.89,0.05,Germany,Clothing,32.09
296,814.35,0.12,Germany,Food,97.72
297,333.67,0.18,UK,Food,60.06
298,312.69,0.05,USA,Food,15.63
299,408.68,0.05,USA,Food,19.86
300,675.78,0.18,France,Clothing,121.64
301,685.37,0.12,Germany,Food,82.24
302,322.09,0.12,India,Electronics,38.65
303,141.88,0.12,Germany,Furniture,17.03
304,636.07,0.05,India,Food,31.8
305,137.04,0.2,India,Books,27.41
306,582.71,0.05,UK,Furniture,32.99
307,696.49,0.12,Germany,Electronics,83.58
308,703.61,0.05,UK,Furniture,35.18
309,755.94,0.2,France,Furniture,151.19
310,874.13,0.05,India,Electronics,43.71
311,504.96,0.18,USA,Food,90.89
312,732.95,0.12,India,Electronics,85.81
313,622.98,0.12,France,Books,74.76
314,194.77,0.12,India,Electronics,23.37
315,35.43,0.05,UK,Clothing,1.77
316,291.7,0.05,Germany,Clothing,14.58
317,448.6,0.05,USA,Furniture,22.43
318,620.93,0.12,UK,Food,74.51
319,851.46,0.05,Germany,Food,42.57
320,204.28,0.12,USA,Clothing,24.51
321,134.29,0.05,France,Books,6.71
322,963.85,0.12,India,Electronics,115.66
323,116.96,0.18,USA,Electronics,21.05
324,483.71,0.05,France,Electronics,24.19
325,589.71,0.12,Germany,Books,72.31
326,545.96,0.18,USA,Books,98.27
327,95.17,0.18,France,Electronics,17.13
328,66.46,0.2,Germany,Electronics,9.379999999999999
329,114.43,0.05,UK,Books,5.72
330,589.73,0.12,India,Electronics,70.77
331,548.9,0.2,France,Books,109.78
332,241.4,0.05,UK,Furniture,12.07
333,641.4,0.18,Germany,Clothing,115.45
334,821.87,0.05,USA,Clothing,41.09
335,51.16,0.12,India,Books,6.14
336,503.15,0.18,Germany,Electronics,90.57
337,692.42,0.2,France,Clothing,138.48
338,259.79,0.05,India,Food,12.99
339,314.69,0.05,UK,Electronics,15.73
340,617.5,0.2,India,Books,123.5
341,898.96,0.05,UK,Food,44.95
342,811.83,0.05,Germany,Books,40.59
343,587.3,0.05,USA,Electronics,29.36
344,732.92,0.18,India,Furniture,131.93
345,371.17,0.18,USA,Furniture,66.81
346,644.56,0.12,USA,Furniture,77.35
347,471.52,0.05,India,Electronics,25.779999999999998
348,198.04,0.12,India,Electronics,23.76
349,704.72,0.18,USA,Food,126.85
350,560.9,0.05,France,Electronics,28.04
351,365.04,0.12,France,Electronics,43.8
352,912.23,0.05,India,Food,45.61
353,30.72,0.05,USA,Food,1.54
354,322.62,0.2,USA,Books,64.52
355,66.31,0.12,Germany,Clothing,7.96
356,768.86,0.18,USA,Clothing,138.39
357,705.09,0.12,France,Books,86.66
358,338.04,0.12,Germany,Furniture,40.56
359,678.91,0.12,France,Electronics,81.47
360,401.98,0.2,UK,Food,80.4
361,758.69,0.05,India,Food,37.93
362,459.64,0.18,UK,Furniture,82.74
363,418.16,0.2,India,Food,83.63
364,935.38,0.18,France,Furniture,168.37
365,258.37,0.2,France,Books,51.67
366,129.24,0.05,UK,Furniture,6.46
367,588.7,0.18,India,Clothing,105.97
368,969.63,0.12,India,Furniture,119.05
369,384.06,0.2,Germany,Books,76.81
370,71.42,0.18,USA,Furniture,12.86
371,345.91,0.05,Germany,Books,17.3
372,510.87,0.18,France,Clothing,91.96
373,170.3,0.2,UK,Electronics,34.06
374,661.52,0.05,India,Books,33.08
375,997.77,0.12,Germany,Electronics,120.81
376,457.22,0.2,UK,Books,91.44
377,361.18,0.2,UK,Furniture,72.24
378,406.7,0.05,USA,Electronics,20.34
379,123.99,0.2,India,Books,23.41
380,884.44,0.18,UK,Books,159.2
381,420.68,0.12,India,Electronics,50.48
382,393.4,0.18,Germany,Books,70.81
383,663.09,0.05,UK,Electronics,33.15
384,447.61,0.2,UK,Clothing,89.52
385,651.75,0.12,Germany,Food,76.58
386,70.83,0.05,India,Clothing,3.54
387,815.59,0.18,India,Electronics,146.81
388,941.1,0.2,UK,Furniture,188.22
389,652.28,0.2,Germany,Furniture,125.74000000000001
390,955.02,0.05,France,Food,47.75
391,159.92,0.18,India,Electronics,28.79
392,482.64,0.2,France,Books,96.53
393,605.79,0.18,UK,Clothing,109.04
394,585.92,0.12,France,Clothing,70.31
395,407.45,0.2,France,Food,81.49
396,344.7,0.12,India,Food,41.36
397,135.56,0.2,UK,Food,27.11
398,397.83,0.05,France,Food,19.89
399,171.03,0.2,India,Food,34.21
400,737.02,0.2,France,Food,147.4
401,216.74,0.18,India,Books,39.01
402,67.98,0.18,UK,Books,12.24
403,556.84,0.12,Germany,Clothing,66.82
404,599.28,0.12,India,Clothing,71.91
405,873.19,0.12,India,Food,104.78
406,581.21,0.2,France,Clothing,113.61999999999999
407,352.03,0.2,UK,Food,70.41
408,804.98,0.12,USA,Books,96.6
409,544.88,0.05,USA,Furniture,27.24
410,88.49,0.05,Germany,Books,4.42
411,570.19,0.2,UK,Electronics,114.04
412,908.94,0.05,India,Books,45.45
413,402.35,0.05,USA,Electronics,20.12
414,303.36,0.12,Germany,Clothing,36.4
415,152.03,0.05,UK,Books,7.6
416,159.93,0.05,Germany,Furniture,8.0
417,438.44,0.2,USA,Books,87.69
418,599.72,0.2,France,Books,119.94
419,89.81,0.2,France,Books,17.96
420,940.17,0.05,UK,Food,47.01
421,757.58,0.12,Germany,Books,90.91
422,590.76,0.18,India,Books,106.34
423,830.15,0.2,USA,Furniture,166.03
424,89.38,0.2,France,Electronics,17.88
425,482.07,0.2,France,Electronics,92.0
426,633.79,0.12,Germany,Furniture,76.05
427,830.37,0.18,France,Clothing,149.47
428,785.63,0.18,Germany,Books,141.41
429,284.3,0.2,USA,Clothing,56.86
430,941.47,0.05,Germany,Furniture,47.07
431,133.1,0.2,France,Clothing,26.62
432,876.38,0.2,Germany,Electronics,172.29
433,971.23,0.05,France,Food,48.56
434,185.38,0.05,UK,Clothing,9.27
435,724.85,0.2,France,Food,144.97
436,49.88,0.12,France,Clothing,5.99
437,411.37,0.12,France,Furniture,49.36
438,521.12,0.05,UK,Food,26.06
439,584.84,0.2,India,Clothing,112.59
440,936.58,0.12,France,Furniture,112.39
441,675.53,0.2,India,Electronics,135.11
442,486.47,0.2,USA,Books,97.29
443,811.58,0.2,Germany,Furniture,162.32
444,951.03,0.12,India,Furniture,114.12
445,31.85,0.18,USA,Electronics,5.73
446,982.7,0.2,Germany,Food,196.54
447,95.27,0.12,France,Clothing,7.14
448,816.24,0.18,France,Food,146.92
449,287.53,0.05,France,Furniture,14.38
450,140.86,0.12,UK,Clothing,16.9
451,445.46,0.18,UK,Books,78.46000000000001
452,647.52,0.12,UK,Books,77.7
453,387.14,0.18,UK,Clothing,69.69
454,64.02,0.18,USA,Furniture,11.52
455,603.47,0.12,USA,Electronics,72.42
456,903.38,0.05,France,Food,45.17
457,389.38,0.2,Germany,Food,77.88
458,224.17,0.18,UK,Electronics,40.35
459,448.15,0.2,Germany,Electronics,89.63
460,57.88,0.05,USA,Books,2.89
461,822.28,0.2,UK,Electronics,164.46
462,828.08,0.2,USA,Clothing,165.62
463,592.12,0.12,USA,Books,71.05
464,359.57,0.12,India,Furniture,43.15
465,801.79,0.05,USA,Books,40.09
466,559.14,0.12,France,Books,67.1
467,827.67,0.18,USA,Food,148.98
468,635.14,0.05,UK,Electronics,31.76
469,786.56,0.12,France,Clothing,94.39
470,602.58,0.12,USA,Electronics,72.31
471,420.0,0.05,France,Food,21.0
472,958.37,0.18,USA,Electronics,172.51
473,545.7,0.05,France,Clothing,27.29
474,609.04,0.12,Germany,Electronics,73.08
475,228.28,0.12,India,Food,27.39
476,629.39,0.05,France,Clothing,33.97
477,575.89,0.18,UK,Electronics,103.66
478,192.99,0.18,India,Food,34.74
479,68.99,0.2,India,Food,13.8
480,608.32,0.18,USA,Books,109.5
481,766.06,0.05,France,Clothing,38.3
482,528.17,0.18,India,Clothing,95.07
483,234.5,0.18,UK,Electronics,42.21
484,669.86,0.2,UK,Books,133.97
485,89.3,0.18,UK,Clothing,16.07
486,447.42,0.2,USA,Food,89.48
487,171.73,0.2,Germany,Clothing,34.35
488,192.61,0.18,France,Books,34.67
489,210.27,0.12,India,Furniture,25.23
490,392.84,0.05,France,Food,16.59
491,60.64,0.05,India,Clothing,3.03
492,403.82,0.18,USA,Food,72.69
493,516.59,0.05,France,Electronics,25.83
494,488.46,0.05,USA,Food,24.42
495,388.96,0.2,USA,Clothing,77.79
496,840.76,0.12,France,Electronics,100.89
497,153.87,0.05,France,Electronics,7.69
498,510.64,0.12,India,Electronics,61.28
499,71.42,0.05,UK,Furniture,3.57
500,80.44,0.12,USA,Furniture,9.65
501,578.13,0.12,Germany,Electronics,69.38
502,570.36,0.05,India,Clothing,28.52
503,879.25,0.2,India,Electronics,175.85
504,562.29,0.12,UK,Electronics,67.47
505,960.19,0.12,UK,Food,115.22
506,58.21,0.05,USA,Food,2.91
507,107.03,0.12,India,Food,12.84
508,53.63,0.12,India,Books,6.44
509,193.42,0.2,Germany,Food,38.68
510,545.86,0.12,USA,Food,65.5
511,649.12,0.2,USA,Clothing,129.82
512,55.13,0.12,UK,Furniture,6.62
513,946.51,0.12,USA,Furniture,113.58
514,843.74,0.2,Germany,Furniture,168.75
515,303.65,0.2,USA,Books,60.73
516,86.42,0.18,France,Electronics,15.56
517,178.19,0.12,France,Food,21.38
518,135.67,0.2,Germany,Clothing,27.13
519,132.05,0.12,UK,Books,15.85
520,523.38,0.12,India,Furniture,62.81
521,253.39,0.12,USA,Books,30.41
522,364.56,0.05,UK,Clothing,18.23
523,989.61,0.18,UK,Books,178.13
524,687.47,0.05,USA,Furniture,34.37
525,949.49,0.18,India,Electronics,170.91
526,151.13,0.12,USA,Furniture,18.14
527,388.32,0.12,India,Furniture,46.6
528,559.18,0.2,Germany,Furniture,111.84
529,85.99,0.18,India,Books,15.48
530,14.15,0.18,UK,Clothing,2.55
531,673.73,0.05,Germany,Furniture,33.69
532,645.4,0.18,France,Books,116.17
533,416.68,0.12,Germany,Clothing,50.0
534,494.75,0.2,India,Electronics,98.95
535,421.29,0.05,Germany,Furniture,16.61
536,33.76,0.2,Germany,Food,6.75
537,342.02,0.18,France,Books,61.56
538,185.31,0.18,India,Electronics,33.36
539,107.44,0.05,UK,Electronics,5.37
540,957.15,0.18,Germany,Electronics,172.29
541,603.37,0.2,USA,Books,120.67
542,731.37,0.12,UK,Clothing,87.76
543,322.21,0.05,Germany,Food,16.11
544,399.22,0.18,UK,Clothing,71.86
545,244.55,0.2,USA,Furniture,48.91
546,106.0,0.12,UK,Food,12.72
547,187.24,0.18,UK,Clothing,37.550000000000004
548,799.54,0.05,USA,Furniture,39.98
549,680.77,0.18,USA,Food,122.54
550,551.46,0.18,USA,Books,99.26
551,480.34,0.18,France,Furniture,86.46
552,923.21,0.12,USA,Clothing,110.79
553,82.01,0.12,UK,Food,9.84
554,287.79,0.18,USA,Furniture,51.8
555,356.44,0.18,Germany,Furniture,64.16
556,784.6,0.05,USA,Books,39.23
557,992.59,0.18,USA,Furniture,178.67
558,248.26,0.2,India,Food,49.61
559,875.56,0.2,UK,Electronics,170.49
560,832.32,0.05,UK,Food,41.62
561,232.41,0.12,Germany,Food,27.89
562,405.34,0.18,France,Books,72.96
563,415.58,0.05,India,Books,20.78
564,978.44,0.12,Germany,Furniture,117.41
565,189.08,0.05,Germany,Books,6.43
566,801.17,0.12,UK,Furniture,96.14
567,340.85,0.18,India,Electronics,61.35
568,733.56,0.05,UK,Clothing,36.68
569,425.81,0.18,France,Books,76.65
570,582.58,0.05,UK,Books,29.13
571,834.29,0.12,USA,Electronics,100.11
572,806.12,0.05,UK,Books,40.31
573,867.76,0.2,USA,Electronics,173.55
574,69.02,0.2,Germany,Furniture,13.8
575,695.13,0.05,France,Books,34.76
576,148.59,0.2,USA,Books,29.72
577,421.66,0.18,France,Furniture,75.9
578,553.1,0.2,UK,Books,110.62
579,408.71,0.2,UK,Food,81.74
580,524.42,0.18,Germany,Electronics,94.4
581,996.56,0.18,UK,Clothing,179.38
582,143.87,0.12,USA,Food,17.26
583,678.7,0.18,Germany,Clothing,126.06
584,402.04,0.05,France,Food,20.1
585,141.68,0.2,Germany,Food,28.34
586,167.15,0.12,France,Food,20.06
587,949.78,0.18,India,Electronics,170.96
588,880.81,0.2,USA,Clothing,176.16
589,907.97,0.05,USA,Furniture,47.879999999999995
590,991.62,0.05,France,Furniture,49.58
591,216.23,0.12,UK,Books,25.95
592,361.88,0.05,UK,Electronics,18.09
593,672.53,0.2,India,Electronics,134.51
594,488.96,0.18,France,Electronics,88.01
595,424.21,0.05,India,Food,21.21
596,364.23,0.18,France,Electronics,65.56
597,597.84,0.2,India,Furniture,119.57
598,579.84,0.2,France,Electronics,118.11
599,169.84,0.18,USA,Food,30.57
600,477.02,0.2,India,Clothing,95.4
601,557.94,0.12,India,Electronics,66.95
602,574.58,0.05,France,Clothing,28.73
603,218.01,0.12,Germany,Books,26.16
604,744.85,0.12,Germany,Food,89.38
605,34.95,0.12,USA,Electronics,4.19
606,361.28,0.18,UK,Books,65.03
607,782.41,0.18,UK,Books,140.47
608,568.25,0.2,USA,Clothing,113.65
609,268.55,0.18,UK,Furniture,48.34
610,698.0,0.2,France,Furniture,139.6
611,571.72,0.18,Germany,Furniture,102.91
612,798.28,0.2,USA,Furniture,159.66
613,737.67,0.05,France,Food,36.88
614,614.01,0.2,USA,Electronics,122.8
615,493.3,0.05,Germany,Electronics,24.67
616,141.85,0.2,UK,Food,28.37
617,268.72,0.18,France,Clothing,52.3
618,424.91,0.18,Germany,Electronics,76.48
619,603.31,0.05,USA,Books,30.17
620,518.57,0.12,India,Electronics,62.23
621,295.3,0.12,France,Food,35.44
622,16.4,0.2,USA,Clothing,0.41999999999999993
623,501.28,0.18,USA,Electronics,90.23
624,292.77,0.12,Germany,Food,35.13
625,737.26,0.18,USA,Books,128.39000000000001
626,33.71,0.18,France,Furniture,6.07
627,588.98,0.18,France,Books,106.02
628,942.06,0.2,USA,Books,188.41
629,182.67,0.05,Germany,Clothing,10.920000000000002
630,476.93,0.2,France,Electronics,95.39
631,100.51,0.12,India,Furniture,12.06
632,629.43,0.05,UK,Food,31.47
633,555.03,0.12,Germany,Furniture,66.6
634,413.29,0.05,Germany,Electronics,20.66
635,526.16,0.05,UK,Clothing,26.31
636,897.61,0.2,UK,Electronics,179.52
637,204.33,0.18,France,Food,36.78
638,32.34,0.18,USA,Furniture,5.82
639,863.05,0.05,USA,Books,43.15
640,581.35,0.2,India,Electronics,116.27
641,891.75,0.12,USA,Clothing,107.01
642,600.98,0.12,India,Clothing,72.12
643,812.06,0.18,India,Furniture,146.17
644,435.38,0.18,Germany,Books,78.37
645,752.36,0.12,Germany,Food,92.4
646,913.91,0.12,France,Books,109.67
647,576.4,0.2,UK,Furniture,115.28
648,188.98,0.12,UK,Books,22.68
649,276.11,0.2,India,Furniture,55.22
650,206.66,0.18,UK,Books,37.2
651,254.39,0.12,India,Electronics,30.53
652,313.35,0.18,UK,Clothing,56.4
653,559.58,0.05,France,Furniture,27.98
654,592.11,0.05,Germany,Furniture,29.61
655,432.23,0.05,Germany,Clothing,21.61
656,619.27,0.12,India,Food,74.31
657,90.76,0.18,UK,Furniture,16.34
658,96.91,0.12,USA,Electronics,11.63
659,180.11,0.18,France,Books,32.42
660,522.9,0.2,UK,Electronics,104.58
661,221.85,0.12,USA,Furniture,26.62
662,290.45,0.05,France,Food,14.52
